2,Vivian,Bendelow,90020,1
3,Jillayne,Skechley,90030,1
4,Athene,Glaysher,90040,1
5,Rosette,Cosgrive,90050,1
6,Benedikta,Grunnell,90060,1
7,Cari,Lammenga,90070,1
8,Norina,Medd,90080,1
9,Egor,Julyan,90090,1
10,Levy,Baxendale,80100,2
11,Adore,MacIlory,80110,2
12,Bertha,Woolliams,80120,2
13,Fidelity,Adamowitz,80130,2
14,Nariko,Escreet,80140,2
15,Rooney,Bramont,80150,2
16,Britni,Sones,70160,10
17,Tanny,Zavattero,70170,10
18,Maria,Pitkaithly,70180,10
19,Car,Veasey,70190,10
20,Chris,Loudiane,70200,10
21,Emory,Adey,60210,16
22,Connie,Trevna,60220,16
23,Val,Barrie,60230,16
24,Roma,Millson,60240,16
25,Oliver,Cottill,50250,21
26,Daria,Brendel,50260,21
27,Gael,Armatidge,50270,21
28,Kattie,Sympson,50280,21
29,Guendolen,Studde,50290,21
30,Aeriela,Elger,50300,21
31,Maximilien,Pikhno,40310,25
32,Vincenz,Babin,40320,25
33,Jephthah,Egar,40330,25
34,Emmalynn,Livermore,40340,25
35,Allyn,Brissard,40350,26
36,Padget,Duchateau,40360,26
37,Sephira,Cretney,40370,26
38,Tailor,Stockoe,40380,26
39,Lula,Stranahan,40390,26
40,Yard,Gamlin,40400,26
41,Leona,Le Pruvost,40410,26
42,Sigismond,Bernadot,40420,26
43,Kearney,Chate,40430,26
44,Raul,Eversfield,40440,27
45,Godfrey,Eliasson,40450,27
46,Ashlan,Joubert,40460,27
47,Othilie,Onyon,40470,27
48,Morganne,Vasler,40480,27
49,Korie,Hitscher,40490,27
50,Yoshiko,Coulthard,40500,28
51,Jannelle,McEnery,40510,28
52,Hamlen,Rappport,40520,28
53,Fiona,Glowacz,40530,28
54,Win,Richardot,40540,29
55,Loni,Fernanando,40550,29
56,Worthington,Cullivan,40560,29
57,Tadio,Shaddick,40570,29
58,Berenice,De Malchar,40580,29
59,Issiah,Bernier,40590,29
60,Freddy,Itskovitz,40600,29
61,Georgie,Driscoll,50610,22
62,Farlee,Dockray,50620,22
63,Gottfried,Gradwell,50630,22
64,Dorris,Bower,50640,22
65,Perceval,Skeete,50650,22
66,Maridel,Trent,50660,22
67,Catina,Fordyce,50670,22
68,Shelby,Rushbury,40680,61
69,Gearard,Woolsey,40690,61
70,Siffre,Stanaway,40700,61
71,Onfre,Lincke,40710,61
72,Daniella,Absalom,40720,61
73,Kitty,Langeley,40730,61
74,Rebe,Ferrar,40740,61
75,Paige,Eble,40750,61
76,Lucien,Gibbonson,40760,62
77,Alyosha,Domenichelli,40770,62
78,Tammi,O'Nions,40780,62
79,Ladonna,Zanussii,40790,63
80,Rochette,Fodden,40800,63
